,document,start,end,label,text
10,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",120,128,ROOM,bedroom1
11,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",200,209,DIRECTION,southwest
12,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",215,231,DIMENSION,17 square meters
13,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",246,254,ROOM,bedroom2
14,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",341,351,DIMENSION,12 squares
15,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",355,360,DIRECTION,north
16,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",362,371,ROOM,washroom1
17,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",443,452,DIMENSION,5 squares
18,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",456,460,DIRECTION,west
19,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",471,480,ROOM,washroom2
20,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",485,494,DIMENSION,3 squares
21,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",498,502,DIRECTION,west
22,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",592,600,ROOM,balcony1
